ID,Geslacht,Leeftijd,Cijfersoort,Perioden,Ondergewicht,NormaalGewicht,Overgewicht
530,T001038,20400,2,2016JJ00,0.2,0.6,0.6
531,T001038,20400,2,1981X001,0.1,0.3,0.3
532,T001038,20400,2,1985X001,0.1,0.3,0.3
533,T001038,20400,2,1989X001,0.1,0.3,0.3
534,T001038,20400,2,1993X001,0.1,0.3,0.3
535,T001038,20400,2,1997X001,0.1,0.3,0.3
536,T001038,20400,2,2001X001,0.1,0.3,0.3
537,T001038,20400,2,2005X001,0.1,0.3,0.3
538,T001038,20400,2,2009X001,0.1,0.3,0.3
539,T001038,20400,2,2013X001,0.1,0.3,0.3
